Date,High,Low,Close,Volume,return_2m,return_3m,return_4m,return_5m,return_6m,return_8m,return_12m,expected_return_50d_US3Y,expected_return_50d_US5Y,expected_return_50d_US7Y,expected_return_50d_US10Y,expected_return_50d_US20Y,expected_return_50d_US30Y,expected_return_70d_US3Y,expected_return_70d_US5Y,expected_return_70d_US7Y,expected_return_70d_US10Y,expected_return_70d_US20Y,expected_return_70d_US30Y,expected_return_100d_US3Y,expected_return_100d_US5Y,expected_return_100d_US7Y,expected_return_100d_US10Y,expected_return_100d_US20Y,expected_return_100d_US30Y,expected_return_120d_US3Y,expected_return_120d_US5Y,expected_return_120d_US7Y,expected_return_120d_US10Y,expected_return_120d_US20Y,expected_return_120d_US30Y,expected_return_150d_US3Y,expected_return_150d_US5Y,expected_return_150d_US7Y,expected_return_150d_US10Y,expected_return_150d_US20Y,expected_return_150d_US30Y,expected_return_180d_US3Y,expected_return_180d_US5Y,expected_return_180d_US7Y,expected_return_180d_US10Y,expected_return_180d_US20Y,expected_return_180d_US30Y,expected_return_200d_US3Y,expected_return_200d_US5Y,expected_return_200d_US7Y,expected_return_200d_US10Y,expected_return_200d_US20Y,expected_return_200d_US30Y,expected_return_220d_US3Y,expected_return_220d_US5Y,expected_return_220d_US7Y,expected_return_220d_US10Y,expected_return_220d_US20Y,expected_return_220d_US30Y,expected_return_250d_US3Y,expected_return_250d_US5Y,expected_return_250d_US7Y,expected_return_250d_US10Y,expected_return_250d_US20Y,expected_return_250d_US30Y,expected_return_280d_US3Y,expected_return_280d_US5Y,expected_return_280d_US7Y,expected_return_280d_US10Y,expected_return_280d_US20Y,expected_return_280d_US30Y,expected_return_300d_US3Y,expected_return_300d_US5Y,expected_return_300d_US7Y,expected_return_300d_US10Y,expected_return_300d_US20Y,expected_return_300d_US30Y,expected_return_320d_US3Y,expected_return_320d_US5Y,expected_return_320d_US7Y,expected_return_320d_US10Y,expected_return_320d_US20Y,expected_return_320d_US30Y,expected_return_350d_US3Y,expected_return_350d_US5Y,expected_return_350d_US7Y,expected_return_350d_US10Y,expected_return_350d_US20Y,expected_return_350d_US30Y,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid,Current Ratio_x,Debt to Equity ratio,Current Ratio_y,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Price/Earnings,Price/Book,Price/FCF,Price/Sales,Return on Assets,Return on Equity,Return on Tangible Equity
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.0,110.0,0.0,110.0,0.0,0.0,0.0,0.0,137.0,1001.0,-36.0,0.0,-121.0,0.0,0.0,0.0,0.0,-157.0,0.0,0.0,0.0,0.0,0.0,-844.0,0.0,-844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,757.0,322.0,0.0,126.0,1205.0,698.0,0.0,3035.0,340.0,4073.0,4840.0,1121.0,0.0,518.0,518.0,1639.0,0.0,0.0,0.0,3201.0,3201.0,4840.0,137.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,-234.0,-105.0,8.0,0.0,61.0,0.0,0.0,0.0,-9.0,60.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,45.0,0.0,0.0,0.0,1.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-450.0,-58.0,22.0,-36.0,-88.0,-71.0,-18.0,3.0,-108.0,-620.0,8.0,0.0,46.0,0.0,0.0,0.0,9.0,63.0,0.0,0.0,0.0,0.0,0.0,558.0,-1.0,557.0,0.0,22.0,-242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,21.0,8.0,29.0,-12.0,1.0,5.0,-2.0,10.0,257.0,-6.0,0.0,-37.0,0.0,0.0,0.0,0.0,-43.0,0.0,0.0,0.0,0.0,0.0,-214.0,0.0,-214.0,0.0,8.0,-214.0,0.0,0.0,0.0,0.0,0.0,56.9319,23.3798,23.3798,0.0,23.3798,17.8835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164,2.0585,1219.0,525.0,694.0,52.0,357.0,0.0,409.0,285.0,0.0,285.0,67.0,218.0,0.0,218.0,0.0,218.0,306.0,285.0,246.3,246.3,0.89,0.89,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,21.0,-30.0,-9.0,100.0,70.0,13.0,-1.0,89.0,337.0,-8.0,0.0,-4.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,-325.0,0.0,-325.0,0.0,-30.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.164,-2.0585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,10.0,21.0,31.0,1.0,-2.0,-33.0,-9.0,-100.0,156.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,-147.0,0.0,-147.0,0.0,9.0,-147.0,0.0,0.0,0.0,0.0,0.0,57.7959,23.8367,23.8367,0.0,23.8367,18.3674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6334,0.5968,1225.0,517.0,708.0,56.0,360.0,0.0,416.0,292.0,0.0,292.0,67.0,225.0,0.0,225.0,0.0,225.0,302.0,292.0,246.3,246.3,0.91,0.91,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,809.0,333.0,101.0,0.0,1243.0,249.0,0.0,2961.0,334.0,3544.0,4787.0,1010.0,0.0,491.0,491.0,1501.0,0.0,0.0,-926.0,4212.0,3286.0,4787.0,209.0,34.0,16.0,50.0,15.0,18.0,-20.0,17.0,42.0,301.0,-12.0,0.0,0.0,0.0,0.0,0.0,2.0,-10.0,0.0,0.0,0.0,0.0,0.0,-291.0,0.0,-291.0,0.0,13.0,-291.0,1.231,0.0,1.2307,0.0,0.0,57.7813,23.0646,23.0646,0.0,21.9473,16.68,0.2618,1.5886,1.5488,58.1085,6.3603,64.3077,4.366,6.3603,13.3544,1.2221,1.1734,1253.0,529.0,724.0,57.0,378.0,0.0,435.0,289.0,-14.0,275.0,66.0,209.0,0.0,209.0,0.0,209.0,323.0,289.0,246.3,246.3,0.85,0.85,,,,,27.24,39.685,401.23
2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,816.0,316.0,102.0,0.0,1660.0,248.0,0.0,2819.0,433.0,3500.0,5160.0,1034.0,2604.0,479.0,3083.0,4117.0,2.0,0.0,-985.0,2026.0,1043.0,5160.0,205.0,21.0,13.0,34.0,-18.0,12.0,-32.0,-9.0,4.0,243.0,-9.0,0.0,0.0,0.0,0.0,0.0,-5.0,-14.0,0.0,2608.0,2608.0,0.0,0.0,198.0,-2600.0,206.0,426.0,13.0,198.0,1.605,2.497,1.6054,0.714,2.4966,57.6096,21.753,21.753,0.0,21.3546,16.3347,0.2432,1.6835,1.538,58.5179,19.6548,-11.5428,3.9729,5.6211,4.2347,0.9866,0.9501,1255.0,532.0,723.0,55.0,395.0,0.0,450.0,273.0,-5.0,268.0,63.0,205.0,0.0,205.0,0.0,205.0,294.0,273.0,246.3,246.3,0.83,0.83,,,,,27.24,39.685,401.23
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.0,826.0,297.0,188.0,0.0,2073.0,262.0,0.0,2960.0,398.0,3620.0,5693.0,1265.0,2629.0,410.0,3039.0,4304.0,2.0,178.0,-954.0,6.0,1389.0,5693.0,200.0,22.0,20.0,42.0,4.0,24.0,84.0,-78.0,21.0,263.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,0.0,0.0,0.0,4.0,4.0,93.0,0.0,97.0,336.0,20.0,93.0,1.639,1.893,1.6387,0.6543,1.8927,57.9193,22.205,22.205,0.0,20.264,15.528,0.2262,1.8249,1.5593,57.7174,14.3989,-12.7307,3.5131,4.9776,5.6395,1.0598,0.9709,1288.0,542.0,746.0,57.0,403.0,0.0,460.0,286.0,-25.0,261.0,61.0,200.0,0.0,200.0,0.0,200.0,308.0,286.0,246.4,246.8,0.82,0.81,,,,,21.46,58.69,-111.05
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827.0,815.0,308.0,167.0,0.0,2117.0,264.0,0.0,2912.0,415.0,3591.0,5708.0,1156.0,2618.0,446.0,3064.0,4220.0,2.0,340.0,-981.0,6.0,1488.0,5708.0,184.0,10.0,41.0,51.0,4.0,-13.0,-26.0,-9.0,-120.0,115.0,-13.0,0.0,0.0,0.0,0.0,0.0,-10.0,-23.0,0.0,0.0,0.0,2.0,2.0,-22.0,0.0,-20.0,65.0,15.0,-22.0,1.831,1.759,1.8313,0.6376,1.7594,59.9519,23.5153,23.5153,0.0,20.0642,14.7673,0.2183,1.6201,1.5288,58.8684,12.3656,-12.9214,3.2235,4.4812,6.0292,0.4622,0.41,1246.0,499.0,747.0,60.0,394.0,0.0,454.0,293.0,-43.0,250.0,66.0,184.0,0.0,184.0,0.0,184.0,303.0,293.0,246.9,248.8,0.75,0.74,,,,,14.95,44.3,-71.79
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043.0,803.0,312.0,175.0,0.0,2333.0,263.0,0.0,2891.0,416.0,3570.0,5903.0,1190.0,2615.0,426.0,3041.0,4231.0,2.0,521.0,-1007.0,6.0,1672.0,5903.0,203.0,31.0,9.0,40.0,11.0,-5.0,-4.0,6.0,8.0,251.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,9.0,9.0,-22.0,0.0,-13.0,216.0,20.0,-22.0,1.961,1.564,1.9605,0.61,1.564,60.0932,23.2143,23.2143,0.0,20.9627,15.7609,0.2182,1.6474,1.604,56.1103,12.1412,-16.653,3.4389,4.7352,6.7665,1.0059,0.9618,1288.0,514.0,774.0,61.0,414.0,0.0,475.0,299.0,-29.0,270.0,67.0,203.0,0.0,203.0,0.0,203.0,330.0,299.0,247.2,249.3,0.82,0.81,,,,,14.1,56.65,-52.89
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.3333333333333,279.6666666666667,108.66666666666667,61.666666666666664,0.0,872.3333333333334,87.0,0.0,980.0,148.33333333333334,1215.3333333333333,2087.6666666666665,408.6666666666667,879.6666666666666,146.0,1025.6666666666667,1434.3333333333333,0.6666666666666666,239.0,-312.6666666666667,2.0,653.3333333333334,2087.6666666666665,73.0,5.666666666666667,5.666666666666667,11.333333333333334,-7.333333333333333,-2.6666666666666665,6.666666666666667,-4.333333333333333,-9.666666666666666,74.66666666666667,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,2.3333333333333335,2.3333333333333335,-7.666666666666667,0.0,-5.333333333333333,74.66666666666667,5.666666666666667,-7.666666666666667,0.7116666666666666,0.4486666666666667,0.7115333333333332,0.19126666666666667,0.44880000000000003,19.863,7.813300000000001,7.813300000000001,0.0,7.255199999999999,5.5555666666666665,0.06993333333333333,0.5429333333333334,0.5220666666666667,19.155266666666666,3.7245000000000004,-7.448966666666667,1.1655666666666666,1.5873,2.642933333333333,0.2973,0.2854,438.0,177.0,261.0,21.0,137.33333333333334,0.0,158.33333333333334,102.66666666666667,-7.333333333333333,95.33333333333333,22.333333333333332,73.0,0.0,73.0,0.0,73.0,108.33333333333333,102.66666666666667,82.46666666666667,83.33333333333333,0.2966666666666667,0.29333333333333333,17.26,14.11,18.9,5.41,4.56,16.51,-20.69
2024-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.3333333333333,279.6666666666667,108.66666666666667,61.666666666666664,,872.3333333333334,87.0,,980.0,148.33333333333334,1215.3333333333333,2087.6666666666665,408.6666666666667,879.6666666666666,146.0,1025.6666666666667,1434.3333333333333,0.6666666666666666,239.0,-312.6666666666667,2.0,653.3333333333334,2087.6666666666665,73.0,5.666666666666667,5.666666666666667,11.333333333333334,-7.333333333333333,-2.6666666666666665,6.666666666666667,-4.333333333333333,-9.666666666666666,74.66666666666667,-3.0,,,,,,1.0,-2.0,,,,2.3333333333333335,2.3333333333333335,-7.666666666666667,,-5.333333333333333,74.66666666666667,5.666666666666667,-7.666666666666667,0.7116666666666666,0.4486666666666667,0.7115333333333332,0.19126666666666667,0.44880000000000003,19.863,7.813300000000001,7.813300000000001,,7.255199999999999,5.5555666666666665,0.06993333333333333,0.5429333333333334,0.5220666666666667,19.155266666666666,3.7245000000000004,-7.448966666666667,1.1655666666666666,1.5873,2.642933333333333,0.2973,0.2854,438.0,177.0,261.0,21.0,137.33333333333334,,158.33333333333334,102.66666666666667,-7.333333333333333,95.33333333333333,22.333333333333332,73.0,,73.0,,73.0,108.33333333333333,102.66666666666667,82.46666666666667,83.33333333333333,0.2966666666666667,0.29333333333333333,17.26,6.575,8.805,2.525,4.56,16.51,-20.69
2024-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.3333333333333,279.6666666666667,108.66666666666667,61.666666666666664,,872.3333333333334,87.0,,980.0,148.33333333333334,1215.3333333333333,2087.6666666666665,408.6666666666667,879.6666666666666,146.0,1025.6666666666667,1434.3333333333333,0.6666666666666666,239.0,-312.6666666666667,2.0,653.3333333333334,2087.6666666666665,73.0,5.666666666666667,5.666666666666667,11.333333333333334,-7.333333333333333,-2.6666666666666665,6.666666666666667,-4.333333333333333,-9.666666666666666,74.66666666666667,-3.0,,,,,,1.0,-2.0,,,,2.3333333333333335,2.3333333333333335,-7.666666666666667,,-5.333333333333333,74.66666666666667,5.666666666666667,-7.666666666666667,0.7116666666666666,0.4486666666666667,0.7115333333333332,0.19126666666666667,0.44880000000000003,19.863,7.813300000000001,7.813300000000001,,7.255199999999999,5.5555666666666665,0.06993333333333333,0.5429333333333334,0.5220666666666667,19.155266666666666,3.7245000000000004,-7.448966666666667,1.1655666666666666,1.5873,2.642933333333333,0.2973,0.2854,438.0,177.0,261.0,21.0,137.33333333333334,,158.33333333333334,102.66666666666667,-7.333333333333333,95.33333333333333,22.333333333333332,73.0,,73.0,,73.0,108.33333333333333,102.66666666666667,82.46666666666667,83.33333333333333,0.2966666666666667,0.29333333333333333,31.94,6.575,8.805,2.525,4.56,16.51,-20.69
