Stock Name,Stock Ticker,Category,Stock Explain,Resources
3M,MMM,Industrials,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",https://www.3m.com/
A. O. Smith,AOS,Industrials,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,http://www.aosmith.com
Abbott Laboratories,ABT,Health Care,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",http://www.abbott.com
AbbVie,ABBV,Health Care,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,http://www.abbvie.com
Accenture,ACN,Information Technology,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",http://www.accenture.com
Adobe Inc.,ADBE,Information Technology,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",http://www.adobe.com
Advanced Micro Devices,AMD,Information Technology,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",http://www.amd.com
AES Corporation,AES,Utilities,"The AES Corporation is a Fortune 500 company that generates and distributes electrical power. AES is headquartered in Arlington, Virginia.",http://www.aes.com
Aflac,AFL,Financials,Aflac Inc. (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States.,http://www.aflac.com
Agilent Technologies,A,Health Care,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",http://www.agilent.com
Air Products,APD,Materials,"Air Products and Chemicals, Inc. is an American international corporation whose principal business is selling gases and chemicals for industrial uses. Air Products' headquarters is in Allentown, Pennsylvania.",http://www.airproducts.com
Airbnb,ABNB,Consumer Discretionary,"Airbnb, Inc. is an American company that operates an online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities, based in San Francisco, California.",http://www.airbnb.com
Akamai Technologies,AKAM,Information Technology,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.",http://www.akamai.com
Albemarle Corporation,ALB,Materials,"Albemarle Corporation is a fine chemical manufacturing company based in Charlotte, North Carolina.",http://www.albemarle.com
Alexandria Real Estate Equities,ARE,Real Estate,"Alexandria Real Estate Equities, Inc. is an American real estate investment trust that invests in office buildings and laboratories leased to tenants in the life science and technology industries.",http://www.are.com
Align Technology,ALGN,Health Care,"Align Technology is a manufacturer of 3D digital scanners and the Invisalign clear aligners used in orthodontics. It is headquartered in San Jose, California.",http://www.aligntech.com
Allegion,ALLE,Industrials,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",http://www.allegion.com
Alliant Energy,LNT,Utilities,"Alliant Energy is a public utility holding company headquartered in Madison, Wisconsin providing power in Iowa and Wisconsin.",http://www.alliantenergy.com
Allstate,ALL,Financials,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",http://www.allstate.com
Alphabet Inc. (Class A),GOOGL,Communication Services,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",http://www.abc.xyz
Alphabet Inc. (Class C),GOOG,Communication Services,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",http://www.abc.xyz
Altria,MO,Consumer Staples,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in unincorporated Henrico County, Virginia, just outside the city of Richmond.",http://www.altria.com
Amazon,AMZN,Consumer Discretionary,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",http://www.amazon.com
Amcor,AMCR,Materials,"Amcor plc is an Australian-American, UK-domiciled packaging company. It develops and produces flexible packaging, rigid containers, specialty cartons, closures and services for food, beverage, pharmaceutical, medical-device, home and personal-care, and other products.",http://www.amcor.com
Ameren,AEE,Utilities,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",http://www.ameren.com
American Electric Power,AEP,Utilities,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",http://www.aep.com
American Express,AXP,Financials,"American Express Company is a multinational financial services corporation known for its credit cards, charge cards, and travel-related services. It serves individuals and businesses, offering premium rewards and loyalty programs.",http://www.americanexpress.com
American International Group,AIG,Financials,"American International Group, Inc. (AIG) is a global insurance and financial services company providing property, casualty, life, and retirement solutions. It serves individual, corporate, and institutional clients.",http://www.aig.com
American Tower,AMT,Real Estate,"American Tower Corporation is a real estate investment trust (REIT) specializing in owning and operating wireless communication infrastructure, including cell towers and data centers. It supports global mobile connectivity and network expansion.",http://www.americantower.com
American Water Works,AWK,Utilities,"American Water Works Company, Inc. is the largest publicly traded water and wastewater utility company in the United States. It provides essential water services to residential, commercial, and industrial customers.",http://www.amwater.com
